name,industry,office,size,review_counts,salaries_count,jobs_count,interviews_count,benefits_count,website,company_type,revenue,head_quarter,founded,interview_possitive,interview_negative,interview_neutral,interview_difficulty,benefits_score,rating,total_insurance_health_wellness_benefits,health_insurance,dental_insurance,FSA,vision insurance,HSA,life_insurance,supplemental_life_insurance,disability_insurance,occupational_accident_insurance,heakth_care_on_site,mental_health_care,retiree_health_and_medical,accidental_death_and_dismemberment_insurance,total_financial_retirement_benefits,pension_plan,plan_401K,retirement_plan,employee_stock_purcase_plan,performance_bonus,stock_options,equity_incentive_plan,supplemental_workers_compensation,charity_gift_matching,total_family_parenting_benefits,maternity_paternity_leave,work_from_home,fertility_assistance,dependent_care,adoption_assistance,childcare,flexible_hour,military_leave,family_medical_leave,unpaid_extended_leave,total_vacation_time_off_benefits,vacation_paid_time_off,sick_days,paid_holidays,volunteer_time_off,sabbatical,bereavement_leave,total_perk_discounts_benefits,employee_discount,free_lunch_or_snacks,employee_assistance_program,gym_membership,commuter_checks_and_assistance,pet_friendly_worksplace,mobile_phone_discount,company_car,company_social_events,travel_concierge,legal_assistance,total_professional_support_benefits,diversity_program,job_training,professional_development,apprenticeship,tuition_assistance
Citi,Investment Banking & Asset Management,26 office locations,10000+ Employees,19.6K,23.2K,7.4K,5.1k,6.5k,https://www.citigroup.com/,Company - Public (C),$10+ billion (USD),"New York, NY",1812,64%,13%,23%,2.9,3.9,3.9,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,0,1,1,9,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,0,1,7,1,0,1,1,0,0,1,1,1,1,0,4,1,1,1,0,1
Deloitte,Accounting,25 office locations,10000+ Employees,52.7K,144.5K,7.1K,15k,12k,https://www.deloitte.com/,Company - Private,$10+ billion (USD),"New York, NY",1850,71%,11%,18%,3,4.2,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,7,1,1,1,0,1,0,1,1,1,9,1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,1,1,8,1,0,1,1,1,0,1,0,1,1,1,4,1,1,1,0,1
KPMG,Accounting,25 office locations,10000+ Employees,30.6K,21.8K,9.5K,8.4k,6.1k,https://www.kpmg.com/,Subsidiary or Business Segment,$2 to $5 billion (USD),"Amstelveen, Netherlands",1987,71%,10%,19%,2.9,3.9,3.9,10,1,1,1,1,1,1,1,1,1,0,0,0,1,5,1,1,1,0,1,0,0,0,1,8,1,1,0,1,1,0,1,1,1,1,5,1,0,1,1,1,1,7,1,1,1,0,0,0,1,0,1,1,1,3,1,1,1,0,0
IBM,IT Services,26 office locations,10000+ Employees,66.6K,66.7K,23.5K,10k,19k,https://www.ibm.com/,Company - Public (IBM),$10+ billion (USD),"Armonk, NY",1911,69%,12%,19%,2.8,3.6,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,1,1,7,1,1,1,0,0,0,1,0,1,1,1,4,1,1,1,0,1
PwC,Accounting,25 office locations,10000+ Employees,39.9K,37.8K,906,11k,8.0k,https://www.pwc.com/,Company - Private,$5 to $10 billion (USD),"New York, NY",1998,72%,9%,19%,2.9,4,3.9,12,1,1,1,1,1,1,1,1,1,0,1,1,1,6,1,1,1,0,1,0,0,1,1,9,1,1,0,1,1,1,1,1,1,1,6,1,1,1,1,1,1,8,1,1,1,0,1,0,1,0,1,1,1,4,1,1,1,0,1
Starbucks,Fast-Food & Quick-Service Restaurants,8 office locations,10000+ Employees,34.9K,36.5K,21.8K,6.2k,8.8k,https://www.starbucks.com/,Company - Public (SBUX),$10+ billion (USD),"Seattle, WA",1971,77%,8%,15%,2.2,4.3,3.9,11,1,1,0,1,1,1,1,1,1,0,1,1,1,7,1,1,1,1,1,1,0,1,0,8,1,1,1,0,1,0,1,1,1,1,6,1,1,1,1,1,1,7,1,1,1,0,1,0,1,0,1,0,1,4,1,1,1,0,1
The Home Depot,Home Centers & Hardware Stores,,10000+ Employees,27.5K,57.6K,26.4K,5.3k,6.1k,https://www.homedepot.com/,Company - Public (HD),$10+ billion (USD),"Atlanta, GA",1978,69%,13%,18%,2.2,3.6,3.9,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,8,1,1,1,1,0,1,1,0,1,0,1,5,1,1,1,1,1
EY,Accounting,,10000+ Employees,39K,43.1K,13.4K,11k,7.8k,https://www.ey.com/,Company - Private,$10+ billion (USD),"London, United Kingdom",1989,73%,9%,18%,2.9,4,4,12,1,1,1,1,1,1,1,1,1,0,1,1,1,6,1,1,1,0,1,0,0,1,1,9,1,1,1,1,1,0,1,1,1,1,5,1,1,1,1,0,1,8,1,0,1,1,1,0,1,0,1,1,1,3,1,1,1,0,0
Comcast,Telecommunications Services,29 office locations,10000+ Employees,10.9K,18.1K,2.8K,2.5k,4.5k,https://www.comcastcareers.com/,Company - Public (CMCSA),$10+ billion (USD),"Philadelphia, PA",1963,60%,20%,19%,2.6,4.2,3.9,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,9,1,1,1,1,1,0,1,0,1,1,1,4,1,1,1,0,1
Tata Consultancy Services,Computer Hardware & Software,39 office locations,10000+ Employees,64.9K,51.5K,64,12k,13k,https://www.tcs.com/,Company - Public (TCSN),$10+ billion (USD),"Mumbai, India",1968,74%,8%,17%,2.7,3.2,3.9,11,1,1,0,1,1,1,1,1,1,1,1,0,1,6,1,1,1,0,1,0,1,1,0,3,1,0,0,0,0,0,1,0,1,0,6,1,1,1,1,1,1,5,1,0,1,0,0,0,1,0,1,0,1,3,1,1,1,0,0
US Navy,Federal Agencies,25 office locations,1001 to 5000 Employees,17.6K,21.1K,719,1.2k,7.3k,https://www.navy.com/,Government,$2 to $5 billion (USD),"San Diego, CA",1775,66%,7%,27%,2.1,,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best Buy,Consumer Electronics & Appliances Stores,6 office locations,10000+ Employees,24.6K,33.6K,3K,5.1k,5.2k,https://www.bestbuy.com/,Company - Public (BBY),$10+ billion (USD),"Richfield, MN",1966,69%,11%,19%,2.4,3.6,3.8,11,1,1,1,1,1,1,1,1,1,0,1,0,1,8,1,1,1,1,1,1,0,1,1,7,1,0,0,1,1,0,1,1,1,1,5,1,1,1,1,0,1,7,1,1,1,0,0,0,1,0,1,1,1,4,1,1,1,0,1
Amazon,Internet,65 office locations,10000+ Employees,69.1K,96.6K,41.7K,29k,15k,https://www.amazon.jobs/,Company - Public (AMZN),$10+ billion (USD),"Seattle, WA",1994,59%,19%,22%,3,3.9,3.9,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,1,1,10,1,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1
Cognizant Technology Solutions,Consulting,27 office locations,10000+ Employees,49.9K,62.4K,4K,8.5k,11k,https://www.cognizant.com/,Company - Public (CTSH),$10+ billion (USD),"Teaneck, NJ",1994,73%,13%,14%,2.7,3.5,3.7,12,1,1,1,1,1,1,1,1,1,1,1,0,1,9,1,1,1,1,1,1,1,1,1,8,1,1,1,1,0,0,1,1,1,1,5,1,1,1,1,0,1,7,1,1,1,0,0,0,1,0,1,1,1,3,1,1,1,0,0
Nordstrom,"Department, Clothing, & Shoe Stores",,10000+ Employees,16.4K,19.4K,1.2K,4.7k,3.6k,https://www.nordstrom.com/,Company - Public (JWN),$10+ billion (USD),"Seattle, WA",1901,72%,10%,18%,2.5,3.7,3.7,11,1,1,1,1,1,1,1,1,1,0,1,0,1,7,0,1,1,1,1,1,1,0,1,6,1,1,0,0,1,0,0,1,1,1,5,1,1,1,0,1,1,3,1,0,1,0,1,0,0,0,0,0,0,3,0,1,1,1,0
Target,General Merchandise & Superstores,5 office locations,10000+ Employees,44.5K,66.7K,8.3K,12k,8.8k,https://www.target.com/,Company - Public (TGT),$10+ billion (USD),"Minneapolis, MN",1962,67%,13%,21%,2.6,3.3,3.7,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,10,1,1,1,1,1,0,1,1,1,1,1,5,1,1,1,1,1
Boeing,Aerospace & Defense,25 office locations,10000+ Employees,10.2K,17.2K,860,2.2k,3.9k,https://www.boeing.com/,Company - Public (BA),$10+ billion (USD),"Chicago, IL",1916,67%,11%,22%,2.8,4.2,3.8,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,0,1,1,1,8,1,1,0,0,1,1,1,1,1,1,5,1,1,1,1,0,1,7,1,0,1,1,1,0,1,0,1,0,1,5,1,1,1,1,1
Oracle,Enterprise Software & Network Solutions,44 office locations,10000+ Employees,31.9K,52.8K,15.4K,5.8k,11k,https://www.oracle.com/,Company - Public (ORCL),$10+ billion (USD),"Redwood City, CA",1977,67%,15%,18%,2.9,4,3.7,12,1,1,1,1,1,1,1,1,1,0,1,1,1,8,0,1,1,1,1,1,1,1,1,9,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,0,1,7,1,1,1,1,1,0,1,0,0,0,1,5,1,1,1,1,1
Wells Fargo,Banks & Credit Unions,25 office locations,10000+ Employees,29.6K,43.5K,4.1K,7.4k,8.7k,https://www.wellsfargojobs.com/,Company - Public (WFC),$10+ billion (USD),"San Francisco, CA",1852,64%,14%,22%,2.8,4,3.7,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,1,8,1,1,1,0,1,0,1,0,1,1,1,5,1,1,1,1,1
Kohl's,"Department, Clothing, & Shoe Stores",,10000+ Employees,12.4K,16.2K,723,3.9k,2.7k,https://www.kohlscareers.com/gd,Company - Public (KSS),$10+ billion (USD),"Menomonee Falls, WI",1962,70%,12%,18%,2.1,3.2,3.6,11,1,1,1,1,1,1,1,1,1,0,0,1,1,7,0,1,1,1,1,1,0,1,1,7,1,0,0,1,1,1,1,0,1,1,5,1,1,1,1,0,1,8,1,1,1,1,0,0,1,0,1,1,1,3,0,1,1,0,1
AT&T,Telecommunications Services,25 office locations,10000+ Employees,27.4K,40.8K,3.4K,4.2k,11k,https://www.att.jobs/,Company - Public (T),$10+ billion (USD),"Dallas, TX",1983,66%,13%,21%,2.7,4,3.6,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,0,1,1,1,9,1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,1,1,8,1,0,1,0,1,0,1,1,1,1,1,5,1,1,1,1,1
UnitedHealth Group,Health Care Services & Hospitals,25 office locations,10000+ Employees,12.4K,13.9K,3.3K,3.7k,4.5k,https://www.unitedhealthgroup.com/,Company - Public (UNH),$10+ billion (USD),"Minnetonka, MN",1977,59%,21%,20%,2.7,3.2,3.6,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,5,1,1,1,1,0,1,6,1,0,1,1,0,0,1,0,1,0,1,5,1,1,1,1,1
UPS,Logistics & Supply Chain,25 office locations,10000+ Employees,18.8K,30.8K,2,3.1k,4.5k,https://www.upsjobs.com/,Company - Public (UPS),$10+ billion (USD),"Atlanta, GA",1907,69%,11%,19%,1.9,4,3.6,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,4,1,1,1,0,0,1,6,1,0,1,0,1,0,1,0,1,0,1,5,1,1,1,1,1
State Farm,Insurance Carriers,28 office locations,10000+ Employees,10.9K,13.6K,26K,2.4k,3.6k,https://www.statefarm.com/,Company - Private,$10+ billion (USD),"Bloomington, IL",1922,71%,12%,17%,2.6,3.4,3.6,12,1,1,1,1,1,1,1,1,1,0,1,1,1,6,1,1,1,0,1,0,0,1,1,8,1,1,0,1,1,0,1,1,1,1,5,1,1,1,1,0,1,8,1,1,1,0,1,0,1,1,0,1,1,4,1,1,1,0,1
Aerotek,Staffing & Outsourcing,25 office locations,5001 to 10000 Employees,5.6K,26K,7.2K,1.6k,980,https://www.aerotek.com/,Company - Private,Unknown / Non-Applicable,"Hanover, MD",1983,55%,25%,21%,2.6,2.7,3.5,8,1,1,0,1,1,1,0,1,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,4,1,1,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0
McDonald's,Fast-Food & Quick-Service Restaurants,,10000+ Employees,51.5K,28.1K,63.5K,8.1k,7.5k,https://www.mcdonalds.com/,Company - Public (MCD),$10+ billion (USD),"Chicago, IL",1955,65%,10%,25%,1.8,2.7,3.6,12,1,1,1,1,0,1,1,1,1,1,1,1,1,8,0,1,1,1,1,1,1,1,1,8,1,0,1,0,1,1,1,1,1,1,6,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1
Lowe's Home Improvement,Home Centers & Hardware Stores,,10000+ Employees,24.3K,42.7K,14.2K,4.3k,6.6k,https://jobs.lowes.com/,Company - Public (LOW),$10+ billion (USD),"Mooresville, NC",1921,67%,13%,21%,2.4,3.7,3.5,13,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,0,1,1,7,1,0,0,1,0,1,1,1,1,1,6,1,1,1,1,1,1,9,1,0,1,1,1,1,1,0,1,1,1,4,1,1,1,0,1
Infosys,IT Services,31 office locations,10000+ Employees,53.7K,104.9K,2.1K,10k,9.8k,https://www.infosys.com/,Company - Public (INFY),$10+ billion (USD),"Bangalore, India",1981,76%,9%,15%,2.6,3.1,3.4,12,1,1,1,1,1,1,1,1,1,0,1,1,1,4,0,1,0,0,1,0,0,1,1,8,1,1,1,1,0,1,1,1,0,1,5,1,1,1,0,1,1,7,1,0,1,0,0,1,1,0,1,1,1,4,1,1,1,1,0
Wipro,IT Services,38 office locations,10000+ Employees,31.4K,42.5K,1.3K,5.6k,6.6k,https://www.wipro.com/,Company - Public (WIT),$5 to $10 billion (USD),"Bangalore, India",1945,70%,13%,17%,2.8,3.1,3.4,10,1,1,1,1,1,1,1,1,1,0,0,0,1,3,0,1,0,0,1,1,0,0,0,6,1,1,0,0,1,0,1,0,1,1,6,1,1,1,1,1,1,6,1,0,1,0,1,0,1,0,1,0,1,4,1,1,1,1,0
Macy's,"Department, Clothing, & Shoe Stores",3 office locations,10000+ Employees,21.8K,28.9K,35,7.5k,5.6k,https://www.macysjobs.com/,Company - Public (M),$10+ billion (USD),"New York, NY",1858,62%,16%,22%,2.2,2.9,3.4,12,1,1,1,1,1,1,1,1,0,1,1,1,1,6,1,1,1,1,1,0,0,0,1,6,1,0,0,0,1,1,1,0,1,1,5,1,1,1,1,0,1,7,1,0,1,0,1,1,1,0,1,0,1,4,1,1,1,0,1
Enterprise,Car Rental,,10000+ Employees,16.1K,18.3K,471,5.7k,3.2k,https://go.enterpriseholdings.com/,Company - Private,$10+ billion (USD),"Saint Louis, MO",1957,61%,16%,23%,2.8,3.9,3.4,11,1,1,1,1,1,1,1,1,1,0,1,0,1,7,1,1,1,1,1,1,0,1,0,5,1,0,0,0,0,0,1,1,1,1,5,1,1,1,1,0,1,6,1,1,1,0,0,0,1,1,1,0,0,3,1,1,1,0,0
Walmart,"Department, Clothing, & Shoe Stores",4 office locations,1001 to 5000 Employees,65.2K,75.9K,79K,10k,14k,https://www.walmart.ca/,Company - Private,$10+ billion (USD),"Mississauga, Canada",1994,63%,14%,23%,2.2,3.2,3.4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,7,1,1,0,1,0,0,1,1,1,1,5,1,1,1,1,0,1,10,1,1,1,1,1,1,1,0,1,1,1,4,1,1,1,0,1
Walgreens,Drug & Health Stores,,10000+ Employees,19.5K,28.8K,23.7K,3.3k,4.9k,https://www.walgreens.com/,Company - Public (WBA),$10+ billion (USD),"Deerfield, IL",1901,65%,12%,22%,2.3,3.3,3.2,12,1,1,1,1,1,1,1,1,1,1,1,0,1,7,1,1,1,1,1,1,0,1,0,8,1,1,1,0,0,1,1,1,1,1,5,1,1,1,1,0,1,5,1,0,1,0,0,0,1,0,1,0,1,5,1,1,1,1,1
Kroger,Grocery Stores & Supermarkets,,10000+ Employees,12.4K,18.4K,4.2K,2.1k,3.0k,https://jobs.kroger.com/,Company - Public (KR),$10+ billion (USD),"Cincinnati, OH",null,66%,13%,21%,1.8,3.4,3.2,12,1,1,1,1,1,1,1,1,1,1,1,0,1,7,1,1,1,1,0,1,0,1,1,6,1,0,0,0,1,0,1,1,1,1,4,1,1,1,0,0,1,5,1,0,1,1,0,0,1,0,1,0,0,4,1,1,1,0,1
CVS Health,Health Care Services & Hospitals,25 office locations,10000+ Employees,21.3K,34.4K,36K,3.7k,4.9k,https://jobs.cvshealth.com/,Company - Public (CVS),$10+ billion (USD),"Woonsocket, RI",1963,61%,16%,22%,2.2,3.1,3.1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,0,1,0,8,1,1,1,1,0,0,1,1,1,1,6,1,1,1,1,1,1,6,1,0,1,1,0,0,1,0,1,0,1,5,1,1,1,1,1
NVIDIA,Computer Hardware & Software,23 office locations,10000+ Employees,3.1K,21.2K,1.6K,1.4k,823,https://www.nvidia.com/,Company - Public (NVDA),$5 to $10 billion (USD),"Santa Clara, CA",1993,60%,17%,24%,3.2,4,4.8,9,1,1,1,1,1,1,1,1,0,0,0,0,1,4,0,1,0,1,0,1,0,0,1,4,1,1,0,0,0,0,1,0,1,0,3,1,1,1,0,0,0,6,1,1,0,0,1,1,1,0,1,0,0,2,0,0,1,0,1
HubSpot,Computer Hardware & Software,11 office locations,1001 to 5000 Employees,1.5K,1.5K,288,1.3k,407,https://www.hubspot.com/,Company - Public (HUBS),$1 to $2 billion (USD),"Cambridge, MA",2006,60%,26%,14%,3.2,4.6,4.7,3,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1
DocuSign,Computer Hardware & Software,17 office locations,5001 to 10000 Employees,1.5K,1.4K,512,524,504,https://www.docusign.com/,Company - Public (DOCU),$1 to $2 billion (USD),"San Francisco, CA",2003,49%,39%,12%,2.8,4.3,4.6,7,1,1,1,1,1,1,1,0,0,0,0,0,0,5,0,1,1,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,5,1,1,1,1,0,1,4,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
SAP,Computer Hardware & Software,27 office locations,10000+ Employees,18.8K,9.6K,2.1K,2.8k,5.2k,https://www.sap.com/,Company - Public (SAP),$10+ billion (USD),"Walldorf, Germany",1972,72%,14%,14%,2.9,4.3,4.6,11,1,1,1,1,1,1,1,1,1,0,1,0,1,8,0,1,1,1,1,1,1,1,1,7,1,1,0,1,1,0,1,0,1,1,5,1,1,1,1,0,1,8,1,1,1,1,1,0,1,0,1,1,0,4,1,1,1,0,1
